model,response_model,image_path,zpid,room_type,replicate,score,level,confidence,valid,room_type_judgment,reasoning,input_tokens,output_tokens,cached_input_tokens,cache_write_tokens,thought_tokens,latency_s,cost_usd,error
gemini-3.5-flash,gemini-3.5-flash,images/448006342/448006342_5.jpg,448006342,bathroom,1,5.0,5,0.9,True,bathroom,"This bathroom features a cohesive modern design with a frameless glass walk-in shower, textured vertical tiling, and a contemporary floating vanity. The backlit round mirror and matte black fixtures add stylish, updated touches, though the compact layout and standard materials keep it firmly in the nicely renovated mid-to-high range.",2955,704,0,0,587,6.549,0.010769,
gemini-3.5-flash,gemini-3.5-flash,images/245026136/245026136_3.jpg,245026136,bathroom,1,4.3,4,0.85,True,bathroom,"This compact bathroom features a modern update with a dark granite countertop, undermount sink, and a multi-jet stainless steel shower panel. However, the heavy use of small mosaic tile borders and the framed glass shower door place it in the mid-range category rather than high-end luxury.",2937,728,0,0,614,7.349,0.010958,
gemini-3.5-flash,gemini-3.5-flash,images/79488683/79488683_7.jpg,79488683,bathroom,1,4.8,5,0.9,True,bathroom,"This bathroom features a long double vanity with a solid-surface countertop, undermount sinks, and updated chrome fixtures. The walls are clad in light blue glass subway tile, complemented by a classic basketweave mosaic tile floor. While it retains a tub-shower combo rather than a separate walk-in shower, the frameless glass panel and cohesive modern finishes represent a high-quality, nicely renovated space.",2909,701,0,0,566,5.863,0.010672,
gemini-3.5-flash,gemini-3.5-flash,images/245026215/245026215_10.jpg,245026215,bedroom,1,4.0,4,0.9,True,bedroom,"The bedroom features clean, updated mid-range finishes, including refinished hardwood flooring and freshly painted neutral walls. The permanent fixtures are basic, such as the simple flush-mount ceiling light and standard white doors and trim. While nicely staged with modern furniture, the permanent architectural elements align with a standard Level 4 updated bedroom.",3075,748,0,0,628,5.984,0.011345,
gemini-3.5-flash,gemini-3.5-flash,images/300074943/300074943_6.jpg,300074943,bathroom,1,6.2,6,0.9,True,bathroom,"This bathroom features high-end materials including a custom walnut double vanity with a thick black marble countertop, matching marble wainscoting, and herringbone marble floor tile. The large walk-in shower has a frameless glass enclosure, premium fixtures, and stone-tiled walls, presenting a highly cohesive and upscale designer aesthetic.",2909,739,0,0,619,7.81,0.011014,
gemini-3.5-flash,gemini-3.5-flash,images/2079507264/2079507264_6.jpg,2079507264,bathroom,1,4.0,4,0.9,True,bathroom,"The bathroom features a clean, modern update with stylish white hexagonal wall tiling and a contemporary wood vanity. However, it retains a standard alcove tub-shower combo with a shower curtain rather than a frameless glass enclosure, and the overall footprint is compact with mid-range fixtures.",2909,808,0,0,697,6.486,0.011636,
gemini-3.5-flash,gemini-3.5-flash,images/245000657/245000657_5.jpg,245000657,bedroom,1,4.2,4,0.9,True,bedroom,"The bedroom features clean, updated permanent finishes including well-maintained hardwood flooring and freshly painted neutral walls. The ceiling is a standard flat height with basic track lighting, and the room includes standard windows and a large sliding mirrored closet, representing a typical updated mid-range space.",3075,792,0,0,699,6.219,0.011740,
gemini-3.5-flash,gemini-3.5-flash,images/68313646/68313646_3.jpg,68313646,bedroom,1,5.2,5,0.9,True,bedroom,"This bedroom features genuinely above-standard permanent elements, including exceptionally high ceilings with exposed structural beams, large loft-style windows that provide ample natural light, and high-quality wide-plank hardwood flooring. While the decor is modern, the architectural volume and window quality elevate it to a nicely renovated level.",3075,736,0,0,635,6.76,0.011236,
gemini-3.5-flash,gemini-3.5-flash,images/2079507264/2079507264_1.jpg,2079507264,bedroom,1,5.8,6,0.85,True,bedroom,"The bedroom features premium permanent finishes, including high-end dark wood herringbone flooring and a custom-paneled accent wall. The large, black-framed multi-pane windows provide an upscale architectural element, complemented by clean recessed ceiling lighting.",3075,790,0,0,687,6.8,0.011723,
gemini-3.5-flash,gemini-3.5-flash,images/72670045/72670045_2.jpg,72670045,bedroom,1,4.0,4,0.9,True,bedroom,"The bedroom features clean, updated mid-range permanent finishes, including refinished hardwood flooring, standard double-hung windows with simple white trim, and a basic flat ceiling with a modern ceiling fan. The presence of a window air conditioning unit and the lack of architectural details like crown molding or built-ins keep it firmly in the mid-range category, despite the tasteful contemporary staging.",3075,798,0,0,682,7.807,0.011794,
gemini-3.5-flash,gemini-3.5-flash,images/64547202/64547202_11.jpg,64547202,bedroom,1,4.0,4,0.9,True,bedroom,"The bedroom features clean hardwood flooring and freshly painted walls, representing a standard updated mid-range space. The permanent fixtures, such as the basic flush-mount ceiling light, standard six-panel doors, and simple baseboards, are functional and well-maintained but lack premium upgrades.",3075,699,0,0,603,6.974,0.010903,
gemini-3.5-flash,gemini-3.5-flash,images/30783144/30783144_10.jpg,30783144,bedroom,1,2.8,3,0.85,True,bedroom,"The bedroom features dated permanent finishes, including pink wall-to-wall carpeting, vertical wall paneling, and a basic ceiling fan. The architectural layout is a simple attic-style room with a sloped ceiling, a through-the-wall AC unit, and baseboard heating, placing it in the dated but maintained category.",3118,659,0,0,537,8.639,0.010608,
gemini-3.5-flash,gemini-3.5-flash,images/245040272/245040272_10.jpg,245040272,bedroom,1,3.5,4,0.9,True,bedroom,"The bedroom features clean, refinished hardwood flooring and freshly painted neutral walls, but remains very basic in its permanent fixtures. The older metal-framed windows, basic radiator cover, and dated ceiling fan represent standard, un-upgraded utility rather than luxury.",3075,809,0,0,703,8.859,0.011893,
gemini-3.5-flash,gemini-3.5-flash,images/89066621/89066621_1.jpg,89066621,bedroom,1,4.8,5,0.85,True,bedroom,"The bedroom features clean, modern permanent finishes including smooth plaster walls, simple baseboards, and a large, high-quality window showcasing a city view. While the room is beautifully staged with contemporary furniture and decor, the architectural elements themselves are relatively simple and standard for a modern apartment, placing it in the high mid-range category.",3075,937,0,0,830,7.559,0.013045,
gemini-3.5-flash,gemini-3.5-flash,images/244993376/244993376_4.jpg,244993376,bedroom,1,4.2,4,0.9,True,bedroom,"The bedroom features clean, updated mid-range finishes including refinished hardwood flooring, simple crown molding, and standard double-hung windows. While tastefully staged with colorful textiles and plants, the permanent architectural elements are standard and typical of a solid mid-range renovation.",3075,823,0,0,731,8.315,0.012020,
gemini-3.5-flash,gemini-3.5-flash,images/119987338/119987338_16.jpg,119987338,bedroom,1,4.0,4,0.9,True,bedroom,"The bedroom features clean, modern dark wood-look flooring and freshly painted walls, typical of a standard mid-range update. The permanent architectural features are basic, with a flat ceiling, standard window, and simple baseboards, lacking any custom millwork or high-end built-ins.",3075,793,0,0,704,6.122,0.011749,
gemini-3.5-flash,gemini-3.5-flash,images/443617919/443617919_3.jpg,443617919,bedroom,1,6.3,6,0.9,True,bedroom,"This bedroom features premium permanent elements including expansive floor-to-ceiling corner windows that showcase panoramic city and water views, high ceilings with recessed drapery tracks, and high-quality light wood flooring. The minimalist architectural design and clean lines represent an upscale, designer-level space.",3075,781,0,0,671,6.173,0.011642,
gemini-3.5-flash,gemini-3.5-flash,images/449031388/449031388_7.jpg,449031388,bedroom,1,4.3,4,0.85,True,bedroom,"The bedroom features clean, modern permanent finishes including high ceilings, a large black-framed window, and hardwood flooring. While the room is simple with basic trim and no built-ins, the overall condition and modern window/HVAC integration represent a solid mid-range updated standard.",3075,760,0,0,663,5.814,0.011452,
gemini-3.5-flash,gemini-3.5-flash,images/245523004/245523004_8.jpg,245523004,bedroom,1,4.8,5,0.85,True,bedroom,"The bedroom features high-quality permanent finishes, including a modern tray ceiling with integrated recessed lighting and hardwood flooring. While the room is compact, these architectural details and the updated window elevate it to a nicely renovated standard.",3075,861,0,0,762,6.586,0.012361,
gemini-3.5-flash,gemini-3.5-flash,images/338701821/338701821_4.jpg,338701821,bedroom,1,4.5,5,0.9,True,bedroom,"The bedroom features clean, modern permanent finishes including smooth plaster walls, updated hardwood flooring, and a large, well-maintained double-hung window. While the mid-century modern styling and bold paint colors are highly appealing, the underlying architectural features and materials represent a high-quality, updated mid-range standard.",3075,997,0,0,880,7.772,0.013586,
gemini-3.5-flash,gemini-3.5-flash,images/320253598/320253598_5.jpg,320253598,bedroom,1,4.7,5,0.85,True,bedroom,"The bedroom features modern permanent finishes including high-quality hardwood flooring, a large black-framed window, and smooth plaster walls. The built-in window seat and modular shelving units add functional storage, though they are standard retail units rather than high-end custom millwork. The overall scale and standard ceiling height align with a nicely updated mid-range bedroom.",3075,714,0,0,587,6.274,0.011038,
gemini-3.5-flash,gemini-3.5-flash,images/320255113/320255113_8.jpg,320255113,bedroom,1,3.4,3,0.9,True,bedroom,"The bedroom features basic hardwood flooring and plain white walls with simple natural wood trim around the window, baseboards, and door. The ceiling is flat with a standard builder-grade flush-mount light fixture, representing a clean but very basic, un-upgraded space.",3075,734,0,0,625,6.573,0.011218,
gemini-3.5-flash,gemini-3.5-flash,images/347205007/347205007_23.jpg,347205007,bedroom,1,4.3,4,0.9,True,bedroom,"The bedroom features clean, modern finishes including light wood-look flooring, recessed LED lighting, and updated shaker-style closet doors with modern hardware. The black-framed casement window adds a contemporary touch, but the overall architectural detail remains standard mid-range.",3075,592,0,0,500,5.994,0.009940,
gemini-3.5-flash,gemini-3.5-flash,images/320251340/320251340_4.jpg,320251340,bedroom,1,5.4,5,0.9,True,bedroom,"The bedroom features high-quality permanent finishes including premium wide-plank wood flooring, high ceilings with recessed lighting, and a large floor-to-ceiling window wall with an integrated glass door leading outside. While the walls and ceiling are relatively simple without custom millwork, the overall quality of the materials and the abundant natural light elevate it to a nicely renovated, above-standard level.",3075,723,0,0,591,6.087,0.011119,
gemini-3.5-flash,gemini-3.5-flash,images/79713844/79713844_16.jpg,79713844,bedroom,1,3.4,3,0.9,True,bedroom,"The bedroom features well-maintained hardwood flooring and clean painted walls, but remains basic with standard baseboards, a simple ceiling fan, and a window AC unit. The overall finishes are dated but functional and maintained, typical of a mid-range older apartment.",3075,651,0,0,560,5.408,0.010471,
gemini-3.5-flash,gemini-3.5-flash,images/455580860/455580860_12.jpg,455580860,bedroom,1,5.0,5,0.9,True,bedroom,"The bedroom features high ceilings, premium light hardwood flooring, and a large, high-quality black-framed multi-pane window. The inclusion of a flush-mounted ceiling HVAC cassette and recessed lighting further indicates a nicely renovated, above-standard space.",3075,663,0,0,557,7.909,0.010580,
gemini-3.5-flash,gemini-3.5-flash,images/111711535/111711535_7.jpg,111711535,bedroom,1,3.8,4,0.9,True,bedroom,"The bedroom features clean, freshly painted white walls and refinished parquet wood flooring, characteristic of an updated mid-range space. The presence of a standard through-the-wall air conditioning unit and simple trim details align it with Level 4, lacking the premium architectural features or upgraded lighting of higher levels.",3075,747,0,0,645,6.474,0.011336,
gemini-3.5-flash,gemini-3.5-flash,images/30786133/30786133_15.jpg,30786133,bedroom,1,2.8,3,0.9,True,bedroom,"The bedroom features dated permanent finishes, most notably the acoustic drop-ceiling tiles and a basic ceiling fan. While the hardwood flooring has some character, it shows visible wear and age, placing the room in a maintained but un-upgraded category.",3103,800,0,0,696,7.344,0.011855,
gemini-3.5-flash,gemini-3.5-flash,images/122588155/122588155_12.jpg,122588155,bedroom,1,5.6,6,0.8,True,bedroom,"The bedroom features significant historic architectural details, including extensive dark wood wainscoting, detailed window trim, and an ornate patterned ceiling. While the room is somewhat crowded with furniture, these permanent millwork and ceiling features elevate it well above standard mid-range finishes.",3096,871,0,0,763,7.722,0.012483,
gemini-3.5-flash,gemini-3.5-flash,images/457610719/457610719_4.jpg,457610719,bedroom,1,4.6,5,0.85,True,bedroom,"The bedroom features clean, modern permanent finishes including light wood flooring, smooth neutral walls, and a large black-framed sliding glass door that opens to a balcony. While the room is well-maintained and has desirable outdoor access, the architectural details like the flat ceiling and simple trim remain standard mid-range.",3075,982,0,0,865,7.724,0.013451,
gemini-3.5-flash,gemini-3.5-flash,images/2054934812/2054934812_14.jpg,2054934812,bedroom,1,2.4,2,0.85,True,bedroom,"The bedroom is a basic, empty shell with plain painted walls, standard trim, and a simple ceiling fan. The hardwood flooring shows significant dark staining and wear, indicating it is in need of refinishing, which aligns with a basic and worn classification.",3075,690,0,0,584,5.556,0.010823,
gemini-3.5-flash,gemini-3.5-flash,images/245015247/245015247_4.jpg,245015247,bedroom,1,4.8,5,0.85,True,bedroom,"The bedroom features high-quality, classic narrow-plank hardwood flooring and prominent ceiling beams that add architectural character. While the walls and lighting are relatively simple, the spacious layout and substantial trim work elevate it to a nicely renovated standard.",3075,863,0,0,775,7.766,0.012379,
gemini-3.5-flash,gemini-3.5-flash,images/79488683/79488683_5.jpg,79488683,bedroom,1,4.0,4,0.9,True,bedroom,"The bedroom features clean, updated permanent finishes including well-maintained hardwood flooring and simple painted walls. However, it lacks upscale architectural details such as crown molding, recessed lighting, or custom built-ins, keeping it in the standard mid-range category.",3075,542,0,0,436,6.728,0.009491,
gemini-3.5-flash,gemini-3.5-flash,images/338705381/338705381_11.jpg,338705381,bedroom,1,5.2,5,0.9,True,bedroom,"The bedroom features high-quality, wide-plank light oak flooring and a large, premium dark-framed window that offers abundant natural light. While the walls and ceiling are minimalist and lack decorative millwork or complex architectural details, the quality of the permanent materials elevates it to a nicely renovated, above-standard level.",3075,744,0,0,640,6.185,0.011309,
gemini-3.5-flash,gemini-3.5-flash,images/448006342/448006342_4.jpg,448006342,bedroom,1,4.2,4,0.9,True,bedroom,"The bedroom features clean, modern finishes including light hardwood flooring, recessed lighting, and a large double-pane window with a minimalist drywall return. The walls are painted a neutral white with simple baseboards, representing a typical updated mid-range standard without premium architectural details like crown molding or custom millwork.",3075,609,0,0,494,7.084,0.010094,
gemini-3.5-flash,gemini-3.5-flash,images/439578555/439578555_17.jpg,439578555,bedroom,1,4.2,4,0.9,True,bedroom,"The bedroom features clean, modern, but basic finishes, including plain white drywall, simple trim, and a wall-mounted mini-split AC unit. While the glass door providing direct patio access is a desirable feature, the overall room size is compact and the permanent finishes are standard mid-range rather than upscale.",3075,698,0,0,581,6.998,0.010894,
gemini-3.5-flash,gemini-3.5-flash,images/30718819/30718819_10.jpg,30718819,bedroom,1,3.8,4,0.85,True,bedroom,"The bedroom features standard modern finishes, including recessed ceiling lights and a large contemporary window. However, the plain walls, basic trim, standard doors, and simple carpet flooring keep it firmly in the mid-range category without any upscale architectural details.",3075,950,0,0,861,7.553,0.013163,
gemini-3.5-flash,gemini-3.5-flash,images/451821668/451821668_4.jpg,451821668,bedroom,1,4.8,5,0.85,True,bedroom,"The bedroom features premium floor-to-ceiling black-framed glass doors leading to a balcony, which provides abundant natural light and an upscale modern feel. The smooth plaster walls, simple baseboards, and hardwood flooring represent high-quality, clean contemporary finishes typical of a nicely renovated modern apartment.",3075,621,0,0,531,9.213,0.010202,
gemini-3.5-flash,gemini-3.5-flash,images/458844757/458844757_2.jpg,458844757,bedroom,1,4.8,5,0.85,True,bedroom,"The bedroom features a prominent exposed brick accent wall, which serves as a high-quality permanent architectural feature. It is complemented by clean drywall, recessed ceiling lights, hardwood flooring, and a deep-set wood-framed window, placing it in the nicely renovated category despite its compact size.",3075,779,0,0,666,6.548,0.011624,
gemini-3.5-flash,gemini-3.5-flash,images/300074943/300074943_5.jpg,300074943,bedroom,1,4.8,5,0.85,True,bedroom,"The bedroom features high-quality dark hardwood flooring and a large, modern black-framed window that provides ample natural light. While the walls and ceiling are simple drywall without decorative millwork or architectural detailing, the premium window and flooring elevate it to a nicely renovated standard.",3075,803,0,0,694,8.174,0.011839,
gemini-3.5-flash,gemini-3.5-flash,images/444358981/444358981_11.jpg,444358981,bedroom,1,3.8,4,0.9,True,bedroom,"The bedroom features clean, refinished hardwood flooring and freshly painted neutral walls, representing a standard updated mid-range finish. The architectural details are basic, including standard six-panel doors, simple baseboards, and a plain flush-mount ceiling light.",3075,632,0,0,542,5.569,0.010301,
gemini-3.5-flash,gemini-3.5-flash,images/30599448/30599448_10.jpg,30599448,bedroom,1,5.7,6,0.85,True,bedroom,"The bedroom features premium historic architectural details, including high ceilings with crown molding, a decorative fireplace mantel, and three large windows framed by substantial, ornate original wood trim and paneling. The spacious layout and original hardwood flooring further elevate the room's permanent quality, placing it in the upscale category.",3075,992,0,0,877,8.266,0.013541,
gemini-3.5-flash,gemini-3.5-flash,images/320252928/320252928_7.jpg,320252928,bedroom,1,5.2,5,0.9,True,bedroom,"The bedroom features high-quality wide-plank hardwood flooring, a painted brick accent wall, and modern recessed lighting. The black-framed window and solid doors with contemporary hardware further elevate the space above standard mid-range finishes.",3075,612,0,0,511,10.321,0.010120,
gemini-3.5-flash,gemini-3.5-flash,images/458844757/458844757_1.jpg,458844757,living_room,1,4.3,4,0.9,True,living_room,"The living room features clean, modern finishes including quality hardwood flooring, recessed lighting, and simple painted walls. While stylishly staged, the permanent architectural features are standard for an updated mid-range apartment, noted by the wall-mounted mini-split AC and basic window trim.",3087,821,0,0,709,6.827,0.012020,
gemini-3.5-flash,gemini-3.5-flash,images/459718105/459718105_1.jpg,459718105,living_room,1,5.3,5,0.9,True,living_room,"The living room features high-quality light hardwood flooring, a modern tray ceiling with recessed lighting, and large black-framed windows that provide ample natural light. The clean lines, modern metal stair railing, and smooth wall finishes represent a high-quality, nicely renovated contemporary space.",3087,698,0,0,601,7.599,0.010913,
gemini-3.5-flash,gemini-3.5-flash,images/122588155/122588155_2.jpg,122588155,living_room,1,3.8,4,0.85,True,living_room,"The room features high-quality historic architectural elements, including a grand carved wood fireplace mantel, deep wood window casings in a bay window, and high ceilings with crown molding. However, the overall condition is dated and un-renovated, characterized by busy damask wallpaper, older parquet flooring, and an exposed radiator pipe.",3087,822,0,0,699,7.837,0.012028,
gemini-3.5-flash,gemini-3.5-flash,images/79488683/79488683_1.jpg,79488683,living_room,1,4.0,4,0.9,True,living_room,"The living room features clean, updated mid-range finishes, including standard hardwood flooring and plain painted drywall without crown molding or custom trim. The ceiling height is standard with a basic ceiling fan, and there are no permanent architectural features like a fireplace or built-ins, placing it firmly in the Level 4 category despite the modern staging.",3087,736,0,0,612,6.779,0.011255,
gemini-3.5-flash,gemini-3.5-flash,images/443617919/443617919_14.jpg,443617919,living_room,1,7.2,7,0.9,True,living_room,"This living room features high-end architectural details including a custom recessed ceiling with integrated cove lighting, rounded structural columns with decorative trim, and extensive floor-to-ceiling windows showcasing a premium waterfront view. The built-in shelving with integrated lighting and high-quality wood flooring further elevate the permanent luxury of the space.",3087,655,0,0,549,5.52,0.010526,
gemini-3.5-flash,gemini-3.5-flash,images/245523004/245523004_4.jpg,245523004,living_room,1,4.4,4,0.85,True,living_room,"The living room features updated dark hardwood flooring and a modern tray ceiling with recessed lighting. However, the presence of a wall-mounted mini-split AC unit and a standard radiator cover under the window indicate a retrofitted mid-range apartment rather than a high-end luxury space.",3087,806,0,0,692,8.261,0.011884,
gemini-3.5-flash,gemini-3.5-flash,images/320252928/320252928_12.jpg,320252928,living_room,1,5.5,6,0.85,True,living_room,"This spacious, open-concept living room features high-quality light wood flooring, painted brick accent walls, and an extensive recessed and track lighting system. The large multi-pane French doors and windows provide ample natural light, elevating the space above standard renovations.",3087,831,0,0,722,7.688,0.012110,
gemini-3.5-flash,gemini-3.5-flash,images/245015247/245015247_1.jpg,245015247,living_room,1,4.8,5,0.85,True,living_room,"The living room features classic pre-war architectural details, including a beamed ceiling and a large steel-framed casement window that provides good natural light. While the hardwood floors and walls are well-maintained, the presence of an exposed radiator and a window air conditioning unit keeps the space in the high-mid-range category.",3087,870,0,0,762,6.237,0.012460,
gemini-3.5-flash,gemini-3.5-flash,images/444358981/444358981_4.jpg,444358981,living_room,1,4.0,4,0.9,True,living_room,"The living room features vaulted ceilings with recessed lighting and hardwood flooring, which provide a spacious feel. However, the finishes are basic, with plain drywall, simple trim, exposed baseboard heaters, and a wall-mounted AC unit, placing it in the updated mid-range category.",3087,782,0,0,684,6.378,0.011669,
gemini-3.5-flash,gemini-3.5-flash,images/245026136/245026136_2.jpg,245026136,living_room,1,3.8,4,0.85,True,living_room,"The living room features standard-height flat ceilings, plain painted drywall, and basic wood baseboards over wood flooring. There are no architectural details, crown moldings, or built-in features, representing a clean but standard mid-range finish level.",3103,675,0,0,568,5.415,0.010729,
gemini-3.5-flash,gemini-3.5-flash,images/244993376/244993376_2.jpg,244993376,living_room,1,4.8,5,0.85,True,living_room,"The living room features quality hardwood flooring, classic arched doorways, and multi-pane French doors that add architectural character. While the space is beautifully staged, the permanent finishes themselves are clean and nicely updated without reaching the custom scale of high-end luxury.",3087,769,0,0,661,7.66,0.011551,
gemini-3.5-flash,gemini-3.5-flash,images/457610719/457610719_1.jpg,457610719,living_room,1,4.4,4,0.85,True,living_room,"The living room features clean, modern finishes including light wood-look flooring, smooth neutral walls, and contemporary black-framed windows. The ceiling is flat with standard recessed lighting, and the overall architectural detail is simple but fully updated, typical of a modern mid-range renovation.",3087,971,0,0,858,8.253,0.013369,
gemini-3.5-flash,gemini-3.5-flash,images/245060365/245060365_1.jpg,245060365,living_room,1,4.8,5,0.85,True,living_room,"The living room features classic pre-war details including oak parquet flooring, simple crown molding, and an arched doorway leading to the dining area. The walls are smooth and freshly painted, presenting a clean, well-maintained, and updated mid-range to slightly above-standard aesthetic.",3087,788,0,0,674,6.086,0.011723,
gemini-3.5-flash,gemini-3.5-flash,images/320251340/320251340_3.jpg,320251340,living_room,1,5.5,6,0.9,True,living_room,"The living room features high-quality wide-plank wood flooring and a large, custom-designed built-in wall unit with wood-grain lower cabinets. Large, premium-quality windows provide abundant natural light, though the ceiling height and plain plaster finish keep the space within the upscale mid-range rather than full luxury.",3087,1187,0,0,1065,11.86,0.015314,
gemini-3.5-flash,gemini-3.5-flash,images/30786133/30786133_1.jpg,30786133,living_room,1,2.2,2,0.9,True,living_room,"The room features highly dated and worn parquet flooring alongside a low-end drop-tile ceiling and basic ceiling fan. Exposed wiring along the baseboards and simple, dated room dividers further indicate a basic, un-upgraded space in need of modernization.",3087,606,0,0,514,5.672,0.010084,
gemini-3.5-flash,gemini-3.5-flash,images/119987338/119987338_11.jpg,119987338,living_room,1,4.0,4,0.9,True,living_room,"The living room features clean, modern dark wood flooring and freshly painted neutral walls, characteristic of an updated mid-range space. The architectural features are basic, with standard ceiling heights, simple baseboards, and no crown molding or permanent built-ins.",3087,788,0,0,705,6.456,0.011723,
gemini-3.5-flash,gemini-3.5-flash,images/455580860/455580860_1.jpg,455580860,living_room,1,5.5,6,0.85,True,living_room,"The living room features premium wide-plank hardwood flooring and a large, high-quality black-framed window wall that serves as a major architectural focal point. The clean, minimalist walls and recessed lighting with integrated ceiling HVAC further indicate a high-end, modern renovation.",3087,763,0,0,666,7.414,0.011498,
gemini-3.5-flash,gemini-3.5-flash,images/79713844/79713844_2.jpg,79713844,living_room,1,3.7,4,0.9,True,living_room,"The room features clean, refinished hardwood flooring and freshly painted neutral walls with simple baseboards, representing a basic updated mid-range space. The lack of crown molding, standard ceiling height, basic light fixture, and simple faux fireplace mantel keep it at a modest level.",3087,911,0,0,800,6.782,0.012830,
gemini-3.5-flash,gemini-3.5-flash,images/2079507264/2079507264_5.jpg,2079507264,living_room,1,5.8,6,0.9,True,living_room,"The living room features premium permanent finishes, most notably the high-quality herringbone pattern hardwood flooring. The media wall is enhanced by extensive custom floating wood shelving and a long built-in low-profile credenza. Large black-framed glass doors provide ample natural light, contributing to an upscale, modern aesthetic.",3087,816,0,0,698,6.666,0.011975,
gemini-3.5-flash,gemini-3.5-flash,images/245000657/245000657_3.jpg,245000657,living_room,1,3.2,3,0.85,True,living_room,"The living room features basic builder-grade finishes, including simple laminate wood flooring, plain painted walls with minimal trim, and standard ceiling heights. There are no premium architectural details, custom built-ins, or upgraded lighting fixtures, placing it in the dated but maintained category.",3087,736,0,0,624,7.053,0.011255,
gemini-3.5-flash,gemini-3.5-flash,images/30718819/30718819_4.jpg,30718819,living_room,1,5.2,5,0.85,True,living_room,"The living room features high-quality wide-plank hardwood flooring, generous ceiling height with recessed lighting, and a modern statement pendant light. An architectural cutout reveals a custom open-riser staircase, adding a unique design element, though the walls remain simple, unadorned drywall.",3087,714,0,0,598,6.203,0.011057,
gemini-3.5-flash,gemini-3.5-flash,images/30785005/30785005_2.jpg,30785005,living_room,1,3.8,4,0.85,True,living_room,"The living room features standard hardwood flooring and recessed lighting, but lacks premium permanent architectural details such as crown molding, custom built-ins, or a permanent fireplace. The overall layout, ceiling height, and window trims represent a typical, maintained mid-range living space.",3087,665,0,0,554,5.424,0.010615,
gemini-3.5-flash,gemini-3.5-flash,images/320253598/320253598_8.jpg,320253598,living_room,1,4.0,4,0.9,True,living_room,"The living room features clean, updated mid-range finishes with plain painted drywall, standard recessed lighting, and basic trim. The space appears to be a finished basement or lower level, indicated by the small, high-set window and standard exterior door, lacking premium architectural details or custom millwork.",3087,854,0,0,738,6.382,0.012316,
gemini-3.5-flash,gemini-3.5-flash,images/338705381/338705381_1.jpg,338705381,living_room,1,6.0,6,0.9,True,living_room,"The living room features high-end, minimalist permanent finishes, including premium wide-plank hardwood flooring, seamless wall transitions, and integrated linear slot HVAC diffusers. The open-concept layout connects smoothly to the dining and kitchen areas, reflecting an upscale, architect-designed space.",3087,739,0,0,641,6.04,0.011281,
gemini-3.5-flash,gemini-3.5-flash,images/338701821/338701821_1.jpg,338701821,living_room,1,5.7,6,0.85,True,living_room,"The living room features a high-quality, extensive custom built-in library and media wall in a striking teal finish, which serves as a major permanent architectural feature. This is complemented by premium wide-plank hardwood flooring, high ceilings with a structural beam detail, and large double-hung windows that provide ample natural light.",3087,686,0,0,587,5.9,0.010804,
gemini-3.5-flash,gemini-3.5-flash,images/68313646/68313646_1.jpg,68313646,living_room,1,5.0,5,0.85,True,living_room,"The room features high loft-style ceilings with exposed structural beams and large multi-pane windows that provide abundant natural light. While the walls are simple painted drywall without custom millwork, the premium architectural volume and quality hardwood flooring elevate it to a nicely renovated level.",3087,820,0,0,710,5.587,0.012011,
gemini-3.5-flash,gemini-3.5-flash,images/245026215/245026215_1.jpg,245026215,living_room,1,3.5,4,0.85,True,living_room,"The living room features older parquet wood flooring, plain painted walls with basic trim, and a standard flat ceiling with no architectural details. The presence of a window AC unit indicates a lack of central HVAC upgrades, pointing to a dated but maintained infrastructure despite the modern staging.",3087,787,0,0,676,5.727,0.011713,
gemini-3.5-flash,gemini-3.5-flash,images/30599448/30599448_4.jpg,30599448,living_room,1,4.3,4,0.7,True,living_room,"The image shows a highly detailed, historic fireplace mantel with ornate wood carvings, decorative tiles, and an embossed brass screen. However, because the view is extremely limited and we cannot see the rest of the room's permanent features (such as flooring, ceiling, or windows), we must score conservatively in accordance with the guidelines.",3087,698,0,0,576,5.705,0.010913,
gemini-3.5-flash,gemini-3.5-flash,images/30783144/30783144_1.jpg,30783144,living_room,1,3.8,4,0.85,True,living_room,"The living room features clean, updated wood flooring and neutral painted walls, placing it in the mid-range. However, the large mirrored accent wall is a dated permanent feature, and the room lacks architectural details like crown molding, built-ins, or decorative ceilings.",3130,698,0,0,601,5.455,0.010977,
gemini-3.5-flash,gemini-3.5-flash,images/448006342/448006342_1.jpg,448006342,living_room,1,4.0,4,0.9,True,living_room,"The living room features clean, modern finishes including light hardwood flooring, recessed lighting, and plain white walls. However, the permanent architectural features are basic, with a standard window, simple trim, and a visible wall-mounted mini-split AC unit, placing it in the updated mid-range category.",3087,678,0,0,576,5.718,0.010733,
gemini-3.5-flash,gemini-3.5-flash,images/457917688/457917688_14.jpg,457917688,living_room,1,2.5,3,0.8,True,living_room,"The room features basic, builder-grade finishes including plain drywall, standard baseboard heating, and a simple window with a DIY-style faux stone border. The overall architectural detail is minimal with standard ceiling heights and basic flooring, placing it in the lower-tier category.",3087,752,0,0,655,5.654,0.011399,
gemini-3.5-flash,gemini-3.5-flash,images/64547202/64547202_4.jpg,64547202,living_room,1,3.6,4,0.85,True,living_room,"The room features decent hardwood flooring and clean painted walls, but the permanent architectural details are basic. The presence of a through-the-wall AC unit, baseboard heating, standard flush-mount lighting, and lack of decorative trim or moldings keep this space in the dated but maintained to basic mid-range category.",3087,763,0,0,642,6.523,0.011498,
